"Continent","IE","Chrome","Firefox","Safari","Opera","360 Safe Browser","Maxthon","360","QQ Browser","Android","SeaMonkey","Flock","Comodo Dragon","Sony PS3","Iron","Kindle"
Macedonia ,7.28,53.4,35.15,0,2.99,0,0,0,0,0,0,0,0,0,0,0
Sri Lanka ,16.44,40.65,39.26,1.25,1.72,0,0,0,0,0,0,0,0,0,0,0
Guatemala ,31.17,39.07,24.1,4.41,0,0,0,0,0,0,0,0,0,0,0,0
Albania ,11.93,57.64,26.91,1.99,1.2,0,0,0,0,0,0,0,0,0,0,0
Uruguay ,18.33,52.81,26.22,1.32,0,0,0,0,0,0,0,0,0,0,0,0
Slovakia (Slovak Republic) ,14.1,36.3,36.42,2.38,9.85,0,0,0,0,0,0,0,0,0,0,0
Georgia ,6.42,45.33,12.12,0,34.66,0,0,0,0,0,0,0,0,0,0,0
Jordan ,22.25,52.12,20.56,2.17,2.21,0,0,0,0,0,0,0,0,0,0,0
Iraq ,32.24,37.16,26.57,1.43,1.77,0,0,0,0,0,0,0,0,0,0,0
Lithuania ,19.53,30.67,39.26,2.11,7.85,0,0,0,0,0,0,0,0,0,0,0
Costa Rica ,27.05,40.22,26.05,5.02,0,0,0,0,0,0,0,0,0,0,0,0
Qatar ,38.94,38.88,14.97,5.32,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait ,42.11,29.72,16.62,9.22,1.17,0,0,0,0,0,0,0,0,0,0,0
Bolivia ,35.51,27.3,33.76,2.36,0,0,0,0,0,0,0,0,0,0,0,0
Puerto Rico ,33.34,32.73,19.8,10.88,0,0,0,0,0,0,0,0,0,1.16,0,0
Lebanon ,42.86,33.83,14.72,7.13,0,0,0,0,0,0,0,0,0,0,0,0
Azerbaijan ,13.67,40.59,9.11,1.41,34.76,0,0,0,0,0,0,0,0,0,0,0
Nigeria ,24.36,16.92,45.89,7.26,3.64,0,0,0,0,0,0,0,0,0,0,0
Belarus ,11.35,24.28,21.48,1.12,40.76,0,0,0,0,0,0,0,0,0,0,0
El Salvador ,22.53,44.63,28.69,2.38,1.17,0,0,0,0,0,0,0,0,0,0,0
Montenegro ,12.71,46.9,32.86,2.06,5.06,0,0,0,0,0,0,0,0,0,0,0
Armenia ,4.71,68.88,19.51,1.43,4.89,0,0,0,0,0,0,0,0,0,0,0
Honduras ,28.85,41.55,24.52,3.25,1.38,0,0,0,0,0,0,0,0,0,0,0
Latvia ,18.45,34.12,38.42,2.97,5.11,0,0,0,0,0,0,0,0,0,0,0
Panama ,40.41,36.28,16.7,5.22,0,0,0,0,0,0,0,0,0,0,0,0
Syrian Arab Republic ,25.7,16.7,52.83,1.37,2.37,0,0,0,0,0,0,0,0,0,0,0
Moldova ,9.24,56.72,24.63,1.07,7.69,0,0,0,0,0,0,0,0,0,0,0
Trinidad and Tobago ,24.71,46.2,21.74,4.68,0,0,0,0,0,0,0,0,0,0,0,0
Kenya ,17.98,20.18,55.17,3.61,2.03,0,0,0,0,0,0,0,0,0,0,0
Estonia ,22.73,30.41,36.19,4.52,4.78,0,0,0,0,0,0,0,0,0,0,0
Nepal ,12.17,43.4,38.04,2.13,3.59,0,0,0,0,0,0,0,0,0,0,0
Myanmar ,47.98,2.89,46.76,1.27,0,0,0,0,0,0,0,0,0,0,0,0
Palestinian Territory ,25.9,36.66,34.52,0,1.52,0,0,0,0,0,0,0,0,0,0,0
Cyprus ,31.83,35.39,24.63,5.93,1.39,0,0,0,0,0,0,0,0,0,0,0
Kazakhstan ,13.91,33.95,25.2,2.48,23.72,0,0,0,0,0,0,0,0,0,0,0
Mongolia ,9.81,26.24,59.31,2.75,1.37,0,0,0,0,0,0,0,0,0,0,0
Bahrain ,45.36,28.87,15.03,8.07,1.35,0,0,0,0,0,0,0,0,0,0,0
Oman ,42.03,32.12,19.96,3.37,1.32,0,0,0,0,0,0,0,0,0,0,0
Jamaica ,20.39,44.9,26.54,4.69,2.04,0,0,0,0,0,0,0,0,0,0,0
Nicaragua ,20.24,42.29,34.22,2.03,0,0,0,0,0,0,0,0,0,0,0,0
Yemen ,17.72,34.39,44.19,1.16,1.85,0,0,0,0,0,0,0,0,0,0,0
Iceland ,21.91,40.51,24.76,10.96,1.14,0,0,0,0,0,0,0,0,0,0,0
Ghana ,13.75,18.31,59.41,3.61,3.35,0,0,0,0,0,0,0,0,0,0,0
Sudan ,26.4,15.33,47.17,1.37,7.95,0,0,0,0,0,0,0,0,0,0,0
Malta ,31.83,41.21,19.12,5.93,1.03,0,0,0,0,0,0,0,0,0,0,0
Senegal ,18.93,25.14,51.82,2.44,1.17,0,0,0,0,0,0,0,0,0,0,0
Cambodia ,14.14,23.24,52.67,7,1.62,0,0,0,0,0,0,0,0,0,0,0
Libyan Arab Jamahiriya ,24.53,42.41,27.86,2.03,2.35,0,0,0,0,0,0,0,0,0,0,0
Mauritius ,19.33,38.55,35.84,3.66,1.91,0,0,0,0,0,0,0,0,0,0,0
Luxembourg ,29.77,19.26,35.04,13.46,1.17,0,0,0,0,0,0,0,0,0,0,0
Bermuda ,54.69,12.48,10.65,21.08,0,0,0,0,0,0,0,0,0,0,0,0
Faroe Islands ,50.27,24.76,10.93,13.07,0,0,0,0,0,0,0,0,0,0,0,0
Brunei Darussalam ,14.97,33.69,34.78,12.51,1.28,0,0,0,0,1.99,0,0,0,0,0,0
Bahamas ,36.86,33.47,15.08,11.29,0,0,0,0,0,0,0,0,0,0,0,0
Ethiopia ,17.34,20.01,56.41,1.93,3.41,0,0,0,0,0,0,0,0,0,0,0
Barbados ,26.42,38.23,26.95,5.45,0,0,0,0,0,0,0,0,0,0,0,0
Tanzania ,32,15.44,43.45,4.69,3.14,0,0,0,0,0,0,0,0,0,0,0
Uganda ,20.93,16.83,55.43,3.49,2.07,0,0,0,0,0,0,0,0,0,0,0
Lao Peoples Democratic Republic ,30.26,24.37,38.47,4.84,0,0,0,0,0,0,0,0,0,0,0,0
Reunion ,19.73,26.4,42.04,9.67,0,0,0,0,0,0,0,0,0,0,0,0
Angola ,49.27,19.52,18.73,9.32,1.59,0,0,0,0,0,0,0,0,0,0,0
Macao ,38.78,26.87,19.33,9.58,0,1.44,1.03,0,0,0,0,0,0,0,0,0
Maldives ,10.56,34.39,48.05,5.07,1.06,0,0,0,0,0,0,0,0,0,0,0
Netherlands Antilles ,43.6,28.12,16.29,10.03,0,0,0,0,0,0,0,0,0,0,0,0
Guyana ,56.43,20.96,19.43,1.6,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon ,14.72,12.38,68.62,1.79,1.45,0,0,0,0,0,0,0,0,0,0,0
Cote dIvoire ,17.49,30.95,45.23,2.88,2.45,0,0,0,0,0,0,0,0,0,0,0
Suriname ,44.69,25.81,22.92,4.11,1.53,0,0,0,0,0,0,0,0,0,0,0
Isle of Man ,43.26,21.61,16.59,17.37,0,0,0,0,0,0,0,0,0,0,0,0
Martinique ,37.95,29.2,24.42,6.49,0,0,0,0,0,0,0,0,0,0,0,0
Mozambique ,39.83,22.12,29.41,5.24,2.22,0,0,0,0,0,0,0,0,0,0,0
Zimbabwe ,33.38,17.38,39.76,4.78,3.94,0,0,0,0,0,0,0,0,0,0,0
Guam ,28.93,33.86,19.59,15.65,0,0,0,0,0,0,0,0,0,0,0,0
Cuba ,16.43,8.12,72.14,0,1.96,0,0,0,0,0,0,0,0,0,0,0
Guadeloupe ,29.53,31.57,26.29,10.35,0,0,0,0,0,0,0,0,0,0,0,0
Aruba ,40.12,29.38,16.83,11.78,0,0,0,0,0,0,0,0,0,0,0,0
Madagascar ,11.04,22.5,61.03,3.11,1.32,0,0,0,0,0,0,0,0,0,0,0
Namibia ,46.81,19.73,24.54,6.04,1.75,0,0,0,0,0,0,0,0,0,0,0
Afghanistan ,37.01,20.99,31.47,6.45,3.05,0,0,0,0,0,0,0,0,0,0,0
Fiji ,26.83,23.4,42.79,5.31,0,0,0,0,0,0,0,0,0,0,0,0
Jersey ,35.15,23,15.89,24.76,0,0,0,0,0,0,0,0,0,0,0,0
Guernsey ,40.09,20.84,14.46,23.22,0,0,0,0,0,0,0,0,0,0,0,0
Botswana ,36.48,22.98,33.02,4.27,2.01,0,0,0,0,0,0,0,0,0,0,0
Grenada ,30.75,39.4,22.3,4.7,1.58,0,0,0,0,0,0,0,0,0,0,0
Uzbekistan ,13.05,33.65,23.76,2.79,25.53,0,0,0,0,0,0,0,0,0,0,0
Saint Lucia ,28.67,38.81,24.54,5.06,1.81,0,0,0,0,0,0,0,0,0,0,0
Haiti ,39.19,27.66,22.72,7.66,2.24,0,0,0,0,0,0,0,0,0,0,0
Togo ,14.97,10.56,70.81,1.54,1.63,0,0,0,0,0,0,0,0,0,0,0
 ,75,1.35,25,12.45,0,0,0,0,0,2,0,0,0,0,0,1.08
Cayman Islands ,36.7,26.64,18.45,16.14,0,0,0,0,0,0,0,0,0,0,0,0
French Polynesia ,19.72,21.58,39.06,18.02,0,0,0,0,0,0,0,0,0,0,0,0
Zambia ,36.21,16.78,35.37,6.25,3.65,0,0,0,0,0,0,0,0,0,0,0
Malawi ,44.58,14.48,32.12,3.34,4.34,0,0,0,0,0,0,0,0,0,0,0
Saint Vincent and the Grenadines ,22.13,43.27,27.53,4.45,0,0,0,0,0,0,0,0,0,0,0,0
Belize ,27.12,29.52,35.74,5.91,0,0,0,0,0,0,0,0,0,0,0,0
New Caledonia ,25.8,25.76,32.65,13.9,1.02,0,0,0,0,0,0,0,0,0,0,0
Andorra ,35.9,30.18,20.06,11.97,0,0,0,0,0,0,0,0,0,0,0,0
Benin ,15.38,35.71,45.55,1.32,1.43,0,0,0,0,0,0,0,0,0,0,0
Rwanda ,24.89,19.08,48.97,4.51,1.47,0,0,0,0,0,0,0,0,0,0,0
Saint Kitts and Nevis ,28.93,37.59,21.96,9.34,0,0,0,0,0,0,0,0,0,0,0,0
Antigua and Barbuda ,32.26,34.9,22.33,8.48,0,0,0,0,0,0,0,0,0,0,0,0
Kyrgyz Republic ,19.64,33.86,17.45,3.88,24.15,0,0,0,0,0,0,0,0,0,0,0
Northern Mariana Islands ,35.26,42.14,16.48,4.12,0,0,0,0,0,0,0,0,0,0,0,0
Cape Verde ,40.66,32.06,22.15,3.34,0,0,0,0,0,0,0,0,0,0,0,0
Dominica ,28.87,39.04,22.03,6.43,2.13,0,0,0,0,0,0,0,0,0,0,0
French Guiana ,28.96,30.49,32.94,5.67,0,0,0,0,0,0,0,0,0,0,0,0
Bhutan ,18.85,40.77,35.21,3.7,0,0,0,0,0,0,0,0,0,0,0,0
Monaco ,34.36,18.64,22.24,23.43,0,0,0,0,0,0,0,0,0,0,0,0
Tajikistan ,15.99,38.4,17.06,2.55,25.15,0,0,0,0,0,0,0,0,0,0,0
Gibraltar ,34.3,28.72,21.47,14.04,0,0,0,0,0,0,0,0,0,0,0,0
Gabon ,41.88,18.3,31.1,6.41,1.42,0,0,0,0,0,0,0,0,0,0,0
Mauritania ,16.45,42.3,35.6,2.38,2.08,0,0,0,0,0,0,0,0,0,0,0
Burkina Faso ,29.1,20.93,44.5,3.19,1.42,0,0,0,0,0,0,0,0,0,0,0
Djibouti ,28.05,30.91,35.61,2.63,2.02,0,0,0,0,0,0,0,0,0,0,0
Liechtenstein ,46.18,11.82,24.49,14.54,1.1,0,0,0,0,0,0,0,0,0,0,0
British Virgin Islands ,42.94,24.94,16.09,13.34,0,0,0,0,0,0,0,0,0,0,0,0
Gambia ,18.16,14.7,59.54,4.51,2.12,0,0,0,0,0,0,0,0,0,0,0
Congo ,34.61,16.73,39.94,4.36,3.1,0,0,0,0,0,0,0,0,0,0,0
Seychelles ,34.34,19.75,39.31,4.02,1.69,0,0,0,0,0,0,0,0,0,0,0
San Marino ,34.26,25.69,26.63,12.49,0,0,0,0,0,0,0,0,0,0,0,0
Papua New Guinea ,53.27,15.47,23.34,5.42,1.41,0,0,0,0,0,0,0,0,0,0,0
Holy See (Vatican City State) ,86.88,4.42,7.78,0,0,0,0,0,0,0,0,0,0,0,0,0
Turks and Caicos Islands ,37.29,30.31,16.94,13.04,0,0,0,0,0,0,0,0,0,0,0,0
Greenland ,54.58,16.17,15.79,12.14,0,0,0,0,0,0,0,0,0,0,0,0
Mali ,31.94,20.63,40.4,4.5,1.42,0,0,0,0,0,0,0,0,0,0,0
Lesotho ,59.19,12.28,23.39,2.46,1.75,0,0,0,0,0,0,0,0,0,0,0
Swaziland ,54.18,15.96,22.34,4.13,2.24,0,0,0,0,0,0,0,0,0,0,0
Somalia ,30.63,28.82,35.99,1.13,3.05,0,0,0,0,0,0,0,0,0,0,0
Anguilla ,42.86,29.21,15.08,10.55,0,0,0,0,0,0,0,0,0,0,0,0
American Samoa ,26.27,34.9,28.55,9.56,0,0,0,0,0,0,0,0,0,0,0,0
Turkmenistan ,27.9,24.55,17.16,7.92,20.78,0,0,0,0,1.09,0,0,0,0,0,0
Niger ,35.98,16.96,39.97,3.83,1.35,0,0,0,0,0,0,0,0,0,0,0
Burundi ,39.92,15.83,37.64,4.75,1.14,0,0,0,0,0,0,0,0,0,0,0
Liberia ,42.25,15.57,31.03,7.61,2.19,0,0,0,0,0,0,0,0,0,0,0
Sierra Leone ,36.46,13.59,38.13,6.65,3.58,0,0,0,0,0,0,0,0,0,0,0
Saint Pierre and Miquelon ,36.17,22.26,32.96,6.86,0,0,0,0,0,0,0,0,0,0,0,0
Equatorial Guinea ,37.59,17.93,35.24,4.66,3.77,0,0,0,0,0,0,0,0,0,0,0
Micronesia ,30.9,25.01,37.4,5.01,0,0,0,0,0,0,0,0,0,0,0,0
Cook Islands ,49.54,11.08,27.3,7.06,0,0,0,0,0,0,0,0,0,0,4.13,0
Samoa ,33.65,20.07,42.17,3.32,0,0,0,0,0,0,0,0,0,0,0,0
Vanuatu ,39.74,19.18,29.92,9.61,0,0,0,0,0,0,0,0,0,0,0,0
Timor-Leste ,30.15,14.47,51.65,2.3,0,0,0,0,0,0,0,0,0,0,0,0
Solomon Islands ,39.01,33.25,19.1,7.7,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea ,22.48,6.71,67.51,0,2.08,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands (Malvinas) ,64.54,12.64,15.42,6.05,0,0,0,0,0,0,0,0,0,0,0,0
Guinea ,37.83,17.76,34.79,5.34,2.61,0,0,0,0,0,0,0,0,0,0,0
Sao Tome and Principe ,53.17,15.88,23.4,5.81,1.26,0,0,0,0,0,0,0,0,0,0,0
Tonga ,25.63,12.07,55.88,5.59,0,0,0,0,0,0,0,0,0,0,0,0
Comoros ,37.67,23.35,33.02,2.96,2.02,0,0,0,0,0,0,0,0,0,0,0
Kiribati ,19.73,25.25,52.33,1.16,0,0,0,0,0,0,0,0,0,0,0,0
Marshall Islands ,29.11,18.67,46.82,4.2,0,0,0,0,0,0,0,0,0,0,0,0
Mayotte ,37.42,18.45,37.54,5.25,0,0,0,0,0,0,0,0,0,0,0,0
Central African Republic ,44.48,12.93,33.16,5.57,1.77,1.34,0,0,0,0,0,0,0,0,0,0
Saint Helena ,72.52,18.16,7.4,1.3,0,0,0,0,0,0,0,0,0,0,0,0
Palau ,32.05,30.71,26.41,9.47,0,0,0,0,0,0,0,0,0,0,0,0
Montserrat ,44.44,32.45,17.56,2.99,0,0,0,0,0,0,0,0,0,0,0,0
North Korea ,57.09,16.14,22.67,1.3,1.79,0,0,0,0,0,0,0,0,0,0,0
Guinea-Bissau ,60.18,9.14,29.05,0,0,0,0,0,0,0,0,0,0,0,0,0
Wallis and Futuna ,14.52,38.16,40.92,5.86,0,0,0,0,0,0,0,0,0,0,0,0
Chad ,42.9,13.9,28.64,6.05,0,3.53,3.41,0,0,0,0,0,0,0,0,0
Niue ,19.95,17.45,59.17,2.63,0,0,0,0,0,0,0,0,0,0,0,0
Tuvalu ,11.1,48.84,38.81,1.25,0,0,0,0,0,0,0,0,0,0,0,0
Nauru ,5.65,14.57,79.77,0,0,0,0,0,0,0,0,0,0,0,0,0
Tokelau ,99.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christmas Island ,3.92,0,94.12,1.96,0,0,0,0,0,0,0,0,0,0,0,0
Norfolk Island ,25,75,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Sahara ,0,83.33,16.67,0,0,0,0,0,0,0,0,0,0,0,0,0
Pitcairn Islands ,42.86,0,57.14,0,0,0,0,0,0,0,0,0,0,0,0,0
